execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_num_rows,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-17T04:54:05.668109,2.4755853228271008,,,True,,0.14337501488626003,0.38733403198421,1,0.53070904687047,,0.21450011990964413,True,,0.6572091951966286,1,0.8717093151062727,,0.20583299919962883,0.7585419807583094,1,0.9643749799579382,,0.10879198089241982,1,0.10879198089241982,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,0,1,0,,,1,,1000,,,num_rows
2,2026-02-17T04:54:05.670484,2.3346662055701017,,,True,,0.14308304525911808,0.3697918727993965,1,0.5128749180585146,,0.22150017321109772,True,,0.5656250286847353,1,0.787125201895833,,0.20541599951684475,0.730500090867281,1,0.9359160903841257,,0.09874999523162842,1,0.09874999523162842,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,1,2,0,,,1,,1000,,,num_rows
3,2026-02-17T04:54:05.673330,2.8004159685224295,,,True,,0.1307500060647726,0.8274160791188478,1,0.9581660851836205,,0.19675004296004772,True,,0.6053750403225422,1,0.8021250832825899,,0.19170809537172318,0.715416856110096,1,0.9071249514818192,,0.13299984857439995,1,0.13299984857439995,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,2,3,0,,,1,,1000,,,num_rows
4,2026-02-17T04:54:05.675524,2.1661249920725822,,,True,,0.11758296750485897,0.30687497928738594,1,0.4244579467922449,,0.1788749359548092,True,,0.5422080866992474,1,0.7210830226540565,,0.17854198813438416,0.7337089627981186,1,0.9122509509325027,,0.10833307169377804,1,0.10833307169377804,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,3,4,0,,,1,,1000,,,num_rows
5,2026-02-17T04:54:05.677624,2.0735841244459152,,,True,,0.11862488463521004,0.31495816074311733,1,0.43358304537832737,,0.18133409321308136,True,,0.5291251000016928,1,0.7104591932147741,,0.17570913769304752,0.6693748291581869,1,0.8450839668512344,,0.08445791900157928,1,0.08445791900157928,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,4,5,0,,,1,,1000,,,num_rows
6,2026-02-17T04:54:05.996638,2.6504581328481436,,,True,,0.14408305287361145,0.3298330120742321,1,0.47391606494784355,,0.503667164593935,True,,0.5808330606669188,1,1.0845002252608538,,0.21395785734057426,0.7675839588046074,1,0.9815418161451817,,0.1105000264942646,1,0.1105000264942646,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,0,1,1,,,2,,10000,,,num_rows
7,2026-02-17T04:54:05.998822,2.153166336938739,,,True,,0.14033308252692223,0.30308403074741364,1,0.44341711327433586,,0.18858304247260094,True,,0.5167501512914896,1,0.7053331937640905,,0.2192910760641098,0.6656248588114977,1,0.8849159348756075,,0.11950009502470493,1,0.11950009502470493,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,1,2,1,,,2,,10000,,,num_rows
8,2026-02-17T04:54:06.001028,2.179127186536789,,,True,,0.14154193922877312,0.33537507988512516,1,0.4769170191138983,,0.1705000177025795,True,,0.5735841114073992,1,0.7440841291099787,,0.19762502051889896,0.6490419618785381,1,0.8466669823974371,,0.11145905591547489,1,0.11145905591547489,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,2,3,1,,,2,,10000,,,num_rows
9,2026-02-17T04:54:06.003174,2.1177090238779783,,,True,,0.14129211194813251,0.30079204589128494,1,0.44208415783941746,,0.19116699695587158,True,,0.5096248351037502,1,0.7007918320596218,,0.19687507301568985,0.6530829705297947,1,0.8499580435454845,,0.12487499043345451,1,0.12487499043345451,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,3,4,1,,,2,,10000,,,num_rows
10,2026-02-17T04:54:06.005310,2.111460082232952,,,True,,0.12425007298588753,0.3368749748915434,1,0.4611250478774309,,0.1740839798003435,True,,0.4924589302390814,1,0.6665429100394249,,0.224041985347867,0.6718751974403858,1,0.8959171827882528,,0.08787494152784348,1,0.08787494152784348,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,4,5,1,,,2,,10000,,,num_rows
11,2026-02-17T04:54:09.091957,2.899626037105918,,,True,,0.2634159754961729,0.4237089306116104,1,0.6871249061077833,,0.38495915941894054,True,,0.5562079604715109,1,0.9411671198904514,,0.37991697899997234,0.683249905705452,1,1.0631668847054243,,0.20816712640225887,1,0.20816712640225887,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,0,1,2,,,3,,100000,,,num_rows
12,2026-02-17T04:54:09.094910,2.9137081000953913,,,True,,0.2619170118123293,0.30041602440178394,1,0.5623330362141132,,0.333291944116354,True,,0.627417117357254,1,0.960709061473608,,0.3937501460313797,0.6892078090459108,1,1.0829579550772905,,0.3077080473303795,1,0.3077080473303795,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,1,2,2,,,3,,100000,,,num_rows
13,2026-02-17T04:54:09.097642,2.699415199458599,,,True,,0.26212516240775585,0.29212492518126965,1,0.5542500875890255,,0.2751660067588091,True,,0.5307078827172518,1,0.8058738894760609,,0.36037503741681576,0.7378330919891596,1,1.0982081294059753,,0.24108309298753738,1,0.24108309298753738,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,2,3,2,,,3,,100000,,,num_rows
14,2026-02-17T04:54:09.100371,2.703040139749646,,,True,,0.2608329523354769,0.298582948744297,1,0.5594159010797739,,0.27104117907583714,True,,0.5260000471025705,1,0.7970412261784077,,0.3622081130743027,0.6639170460402966,1,1.0261251591145992,,0.3204578533768654,1,0.3204578533768654,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,3,4,2,,,3,,100000,,,num_rows
15,2026-02-17T04:54:09.103110,2.7157512959092855,,,True,,0.2807078417390585,0.30029192566871643,1,0.5809997674077749,,0.2607081551104784,True,,0.5690420512109995,1,0.8297502063214779,,0.386000145226717,0.6699590012431145,1,1.0559591464698315,,0.24904217571020126,1,0.24904217571020126,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,4,5,2,,,3,,100000,,,num_rows
16,2026-02-17T04:54:36.783290,4.5787913259118795,,,True,,0.5818749777972698,0.4257501568645239,1,1.0076251346617937,,0.6852499209344387,True,,0.5450830794870853,1,1.230333000421524,,1.1762080248445272,0.7548751309514046,1,1.9310831557959318,,0.40975003503262997,1,0.40975003503262997,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,0,1,3,,,4,,1000000,,,num_rows
17,2026-02-17T04:54:36.787790,4.4507060665637255,,,True,,0.6385829765349627,0.4176660440862179,1,1.0562490206211805,,0.7325410842895508,True,,0.5526659078896046,1,1.2852069921791553,,1.0146251879632473,0.7429169490933418,1,1.7575421370565891,,0.35170791670680046,1,0.35170791670680046,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,1,2,3,,,4,,1000000,,,num_rows
18,2026-02-17T04:54:36.791750,3.929958213120699,,,True,,0.5179999861866236,0.3078749869018793,1,0.8258749730885029,,0.5725831724703312,True,,0.5189171060919762,1,1.0915002785623074,,1.0126670822501183,0.6648749113082886,1,1.6775419935584068,,0.33504096791148186,1,0.33504096791148186,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,2,3,3,,,4,,1000000,,,num_rows
19,2026-02-17T04:54:36.796098,4.315168829634786,,,True,,0.48987497575581074,0.2961668651551008,1,0.7860418409109116,,0.5764591041952372,True,,0.7797919679433107,1,1.356251072138548,,1.0580839589238167,0.6627920083701611,1,1.7208759672939777,,0.45199994929134846,1,0.45199994929134846,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,3,4,3,,,4,,1000000,,,num_rows
20,2026-02-17T04:54:36.800036,3.9088341873139143,,,True,,0.46504195779561996,0.31704199500381947,1,0.7820839527994394,,0.603624852374196,True,,0.5165000911802053,1,1.1201249435544014,,0.8805831894278526,0.7130419835448265,1,1.5936251729726791,,0.41300011798739433,1,0.41300011798739433,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,4,5,3,,,4,,1000000,,,num_rows
21,2026-02-17T04:59:34.612999,23.271252401173115,,,True,,3.7517091259360313,0.5061251576989889,1,4.25783428363502,,5.211042007431388,True,,0.9261250961571932,1,6.137167103588581,,7.717709057033062,1.6302498988807201,1,9.347958955913782,,3.5282920580357313,1,3.5282920580357313,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,0,1,4,,,5,,10000000,,,num_rows
22,2026-02-17T04:59:34.637293,24.17829167097807,,,True,,4.401832818984985,0.5405419506132603,1,4.942374769598246,,5.3189999889582396,True,,0.8048331364989281,1,6.123833125457168,,9.724667062982917,0.9261248633265495,1,10.650791926309466,,2.4612918496131897,1,2.4612918496131897,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,1,2,4,,,5,,10000000,,,num_rows
23,2026-02-17T04:59:34.657323,19.95770796202123,,,True,,3.889332991093397,0.6150000263005495,1,4.504333017393947,,3.689208999276161,True,,0.727958045899868,1,4.417167045176029,,7.724042050540447,0.795499887317419,1,8.519541937857866,,2.5166659615933895,1,2.5166659615933895,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,2,3,4,,,5,,10000000,,,num_rows
24,2026-02-17T04:59:34.674790,17.42083625867963,,,True,,2.991209039464593,0.355167081579566,1,3.346376121044159,,3.6809591110795736,True,,0.568249961361289,1,4.249209072440863,,6.94183399900794,0.8802080992609262,1,7.8220420982688665,,2.0032089669257402,1,2.0032089669257402,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,3,4,4,,,5,,10000000,,,num_rows
25,2026-02-17T04:59:34.691341,16.504084458574653,,,True,,2.67804111354053,0.3315000794827938,1,3.009541193023324,,3.6465420853346586,True,,0.527125084772706,1,4.173667170107365,,6.644791923463345,0.719000119715929,1,7.363792043179274,,1.9570840522646904,1,1.9570840522646904,0.0,skipped_not_supported_for_query,0.0,0.0,0,0.0,0.0,1,SIMPLE_AGG,4,5,4,,,5,,10000000,,,num_rows
