execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlite_correctness_error,sqlite_correctness_match,sqlite_dfc_correctness_error,sqlite_dfc_correctness_match,sqlite_dfc_error,sqlite_dfc_rows,sqlite_dfc_time_ms,sqlite_error,sqlite_logical_correctness_error,sqlite_logical_correctness_match,sqlite_logical_error,sqlite_logical_rows,sqlite_logical_time_ms,sqlite_rows,sqlite_time_ms,tpch_sf
1,2026-02-04T01:55:48.163438,562.6014182344079,,,True,,4.9001669976860285,1.4943750575184822,4,6.394542055204511,,11.8259999435395,3.8310419768095016,4,15.657041920349002,,4.4373751152306795,4,4.4373751152306795,q01,1,,True,,True,,4,548.135707853362,,,True,,4,2184.5273750368506,4,536.1124591436237,0.1
2,2026-02-04T01:55:48.429547,102.34358068555593,,,True,,3.9973328821361065,3.2389999832957983,10,7.236332865431905,,6.070790812373161,3.5553749185055494,10,9.62616573087871,,3.8270410150289536,10,3.8270410150289536,q03,3,,True,,True,,10,81.51316689327359,,,True,,10,78.68974981829524,10,81.65404107421637,0.1
3,2026-02-04T01:55:49.008137,41.186125949025154,,,True,,4.906541900709271,2.3880829103291035,5,7.294624811038375,,16.529708169400692,2.997417002916336,5,19.527125172317028,,3.4354589879512787,5,3.4354589879512787,q04,4,,True,,True,,5,112.53808415494859,,,True,,5,421.4170000050217,5,10.928916977718472,0.1
4,2026-02-04T01:57:07.054006,9820.185456890613,,,True,,4.569041077047586,2.070000162348151,5,6.639041239395738,,7.12937512435019,4.13870788179338,5,11.26808300614357,,4.12612478248775,5,4.12612478248775,q05,5,,True,,True,,5,9803.8789590355,,,True,,5,58418.11962495558,5,9798.152207862586,0.1
5,2026-02-04T01:57:07.217437,45.64933106303215,,,True,,0.8863329421728849,1.240250188857317,1,2.126583131030202,,1.5518330037593842,2.171790925785899,1,3.7236239295452833,,1.086666015908122,1,1.086666015908122,q06,6,,True,,True,,1,38.024666951969266,,,True,,1,75.97129186615348,1,38.71245798654854,0.1
6,2026-02-04T01:57:08.733961,401.74370841123164,,,True,,6.090416107326746,2.7488330379128456,4,8.839249145239592,,7.804166991263628,7.754875114187598,4,15.559042105451226,,6.395542062819004,4,6.395542062819004,q07,7,,True,,True,,4,369.7206659708172,,,True,,4,741.5149160660803,4,370.9498750977218,0.1
7,2026-02-04T01:57:08.792932,36.46783414296806,,,True,,5.258291959762573,2.505292184650898,2,7.763584144413471,,7.385707926005125,7.279125042259693,2,14.664832968264818,,5.488957976922393,2,5.488957976922393,q08,8,,True,,True,,2,6.794082932174206,,,True,,2,12.183875078335404,2,8.550459053367376,0.1
8,2026-02-04T01:57:25.448170,1158.269417239353,,,True,,8.151875110343099,1.8411250784993172,175,9.993000188842416,,11.813582852482796,5.235250107944012,175,17.048832960426807,,7.133417064324021,175,7.133417064324021,q09,9,,True,,True,,175,1123.7284999806434,,,True,,175,14368.79300000146,175,1124.0941670257598,0.1
9,2026-02-04T01:57:25.572665,66.84474996291101,,,True,,8.48700013011694,3.788542002439499,20,12.275542132556438,,13.790874974802136,4.988667089492083,20,18.77954206429422,,8.454457856714725,20,8.454457856714725,q10,10,,True,,True,,20,27.178209042176604,,,True,,20,26.591207832098007,20,27.335207909345627,0.1
10,2026-02-04T01:57:25.823476,65.6587507110089,,,True,,3.321958938613534,1.7454170156270266,2,5.0673759542405605,,5.652250023558736,3.834750037640333,2,9.487000061199069,,3.3351248130202293,2,3.3351248130202293,q12,12,,True,,True,,2,47.10824997164309,,,True,,2,134.55133303068578,2,47.76924988254905,0.1
11,2026-02-04T01:57:25.863542,19.743291893973947,,,True,,2.1665419917553663,1.449541887268424,1,3.6160838790237904,,2.9865000396966934,2.758957911282778,1,5.745457950979471,,2.0396250765770674,1,2.0396250765770674,q14,14,,True,,True,,1,6.664457963779569,,,True,,1,10.2802908513695,1,8.342124987393618,0.1
12,2026-02-04T01:57:26.187566,98.4711681958288,,,True,,7.499375147745013,3.9680839981883764,5,11.46745914593339,,11.972625041380525,3.6098749842494726,5,15.582500025629997,,6.332000019028783,5,6.332000019028783,q18,18,,True,,True,,5,90.16029187478125,,,True,,5,132.1114171296358,5,65.08920900523663,0.1
13,2026-02-04T01:57:26.224888,27.624211041256785,,,True,,4.155833972617984,2.8790421783924103,1,7.034876151010394,,7.03650014474988,6.628583883866668,1,13.665084028616548,,4.001916851848364,1,4.001916851848364,q19,19,,True,,True,,1,2.2100000642240047,,,True,,1,4.216333152726293,1,2.92233400978148,0.1
14,2026-02-04T01:57:29.523825,595.7719578873366,,,True,,4.770291969180107,1.5088750515133142,4,6.279167020693421,,12.550541898235679,3.7781670689582825,4,16.32870896719396,,4.333666060119867,4,4.333666060119867,q01,1,,True,,True,,4,546.0221669636667,,,True,,4,2153.5697081126273,4,568.8304158393294,0.1
15,2026-02-04T01:57:29.790969,103.12483366578817,,,True,,4.068374866619706,3.241291968151927,10,7.309666834771633,,6.108083995059133,3.4958329051733017,10,9.603916900232434,,4.058290971443057,10,4.058290971443057,q03,3,,True,,True,,10,80.33212483860552,,,True,,10,80.03683295100927,10,82.15295895934105,0.1
16,2026-02-04T01:57:30.369357,41.21045861393213,,,True,,4.565584007650614,2.263125032186508,5,6.828709039837122,,17.227874835953116,2.4335409980267286,5,19.661415833979845,,3.563541918992996,5,3.563541918992996,q04,4,,True,,True,,5,111.62958294153214,,,True,,5,421.9710829202086,5,11.15679182112217,0.1
17,2026-02-04T01:58:48.234613,9810.891083208844,,,True,,4.226833116263151,1.8296248745173216,5,6.056457990780473,,7.435208186507225,4.478583112359047,5,11.913791298866272,,4.780041985213757,5,4.780041985213757,q05,5,,True,,True,,5,9800.636624917388,,,True,,5,58249.97370806523,5,9788.140791933984,0.1
18,2026-02-04T01:58:48.401487,46.54149990528822,,,True,,0.8802500087767839,1.0971250012516975,1,1.9773750100284815,,1.625042175874114,2.2590828593820333,1,3.8841250352561474,,0.860708998516202,1,0.860708998516202,q06,6,,True,,True,,1,38.7107077986002,,,True,,1,78.21941701695323,1,39.81929086148739,0.1
19,2026-02-04T01:58:49.916291,403.148123761639,,,True,,5.935165798291564,2.750332932919264,4,8.685498731210828,,7.7322497963905334,7.728833006694913,4,15.461082803085446,,6.394959054887295,4,6.394959054887295,q07,7,,True,,True,,4,368.3119579218328,,,True,,4,739.973375108093,4,372.60658317245543,0.1
20,2026-02-04T01:58:49.974613,36.61087644286454,,,True,,5.504792090505362,2.685291925445199,2,8.19008401595056,,7.152375066652894,7.160417037084699,2,14.312792103737593,,5.603250116109848,2,5.603250116109848,q08,8,,True,,True,,2,6.530374987050891,,,True,,2,11.868583038449287,2,8.504750207066536,0.1
21,2026-02-04T01:59:06.488042,1126.7692071851343,,,True,,7.6581251341849566,1.8666659016162157,175,9.524791035801172,,11.56758307479322,5.293583031743765,175,16.861166106536984,,7.511125179007649,175,7.511125179007649,q09,9,,True,,True,,175,1102.494082879275,,,True,,175,14279.387041926384,175,1092.8721248637885,0.1
22,2026-02-04T01:59:06.612601,67.28812376968563,,,True,,9.036124916747212,3.984207985922694,20,13.020332902669907,,13.883417006582022,4.521415801718831,20,18.404832808300853,,8.982582949101925,20,8.982582949101925,q10,10,,True,,True,,20,26.986957993358374,,,True,,20,26.690332917496562,20,26.88037510961294,0.1
23,2026-02-04T01:59:06.864865,67.01916619203985,,,True,,3.4084580838680267,1.8085830379277468,2,5.2170411217957735,,6.275834050029516,4.124500090256333,2,10.40033414028585,,3.403750015422702,2,3.403750015422702,q12,12,,True,,True,,2,48.345208168029785,,,True,,2,133.7110409513116,2,47.99804091453552,0.1
24,2026-02-04T01:59:06.905377,19.813208607956767,,,True,,1.9236248917877674,2.0126670133322477,1,3.936291905120015,,2.883791923522949,3.022250020876527,1,5.906041944399476,,1.9989998545497656,1,1.9989998545497656,q14,14,,True,,True,,1,6.621125154197216,,,True,,1,10.766791878268123,1,7.97187490388751,0.1
25,2026-02-04T01:59:07.227678,99.19804194942117,,,True,,7.251207949593663,3.845625091344118,5,11.096833040937781,,12.781792087480426,3.7994589656591415,5,16.581251053139567,,6.544125033542514,5,6.544125033542514,q18,18,,True,,True,,5,90.35958303138614,,,True,,5,129.5055418740958,5,64.9758328218013,0.1
26,2026-02-04T01:59:07.264156,26.289416942745447,,,True,,3.6039170809090137,2.8400421142578125,1,6.443959195166826,,6.8594589829444885,6.186290876939893,1,13.045749859884381,,3.900957992300391,1,3.900957992300391,q19,19,,True,,True,,1,2.3615839891135693,,,True,,1,4.456124966964126,1,2.8987498953938484,0.1
27,2026-02-04T01:59:10.564360,561.6544594522566,,,True,,4.523457959294319,1.5762501861900091,4,6.099708145484328,,12.038292130455375,4.342792090028524,4,16.3810842204839,,4.30316710844636,4,4.30316710844636,q01,1,,True,,True,,4,550.8593339473009,,,True,,4,2184.4663750380278,4,534.870499977842,0.1
28,2026-02-04T01:59:10.829035,102.33625071123242,,,True,,4.177624825388193,3.187041962519288,10,7.364666787907481,,6.250040838494897,3.7215841002762318,10,9.971624938771129,,4.045458976179361,10,4.045458976179361,q03,3,,True,,True,,10,80.15845785848796,,,True,,10,78.7363750860095,10,80.95450000837445,0.1
29,2026-02-04T01:59:11.410706,42.071121744811535,,,True,,5.369124934077263,2.2304579615592957,5,7.5995828956365585,,16.970665892586112,2.4056660477072,5,19.376331940293312,,4.014916019514203,5,4.014916019514203,q04,4,,True,,True,,5,111.55858309939504,,,True,,5,424.68145792372525,5,11.080290889367461,0.1
30,2026-02-04T02:00:29.310050,9837.495958199725,,,True,,4.457667004317045,1.7804999370127916,5,6.238166941329837,,7.4581250082701445,4.237125162035227,5,11.695250170305371,,4.443958168849349,5,4.443958168849349,q05,5,,True,,True,,5,9801.682624965906,,,True,,5,58256.36320817284,5,9815.11858291924,0.1
31,2026-02-04T02:00:29.477934,48.208917723968625,,,True,,0.9042918682098389,1.125916838645935,1,2.030208706855774,,1.5617089811712503,2.102582948282361,1,3.6642919294536114,,0.8769170381128788,1,0.8769170381128788,q06,6,,True,,True,,1,39.54320796765387,,,True,,1,75.84887486882508,1,41.63750004954636,0.1
32,2026-02-04T02:00:31.025289,437.1082510333508,,,True,,6.955042015761137,3.177125006914139,4,10.132167022675276,,8.161332923918962,7.67350010573864,4,15.834833029657602,,6.031458964571357,4,6.031458964571357,q07,7,,True,,True,,4,368.88845916837454,,,True,,4,736.9633750058711,4,405.1097920164466,0.1
33,2026-02-04T02:00:31.084454,36.1795409116894,,,True,,5.457290913909674,2.305208006873727,2,7.7624989207834005,,7.261916063725948,6.846375064924359,2,14.108291128650308,,5.211709067225456,2,5.211709067225456,q08,8,,True,,True,,2,6.971542024984956,,,True,,2,12.134791119024158,2,9.097041795030236,0.1
34,2026-02-04T02:00:47.593834,1133.4460419602692,,,True,,7.72562506608665,1.8506248015910387,175,9.576249867677689,,11.230708099901676,6.108917063102126,175,17.339625163003802,,7.49116693623364,175,7.49116693623364,q09,9,,True,,True,,175,1082.6767499092966,,,True,,175,14287.424207897857,175,1099.038999993354,0.1
35,2026-02-04T02:00:47.721114,68.31966596655548,,,True,,8.560874965041876,4.204000113531947,20,12.764875078573823,,15.411874977871776,4.497958114370704,20,19.90983309224248,,8.841415867209435,20,8.841415867209435,q10,10,,True,,True,,20,27.699415804818273,,,True,,20,26.6827498562634,20,26.80354192852974,0.1
36,2026-02-04T02:00:47.972478,66.43616687506437,,,True,,3.8063330575823784,1.7795409075915813,2,5.58587396517396,,5.884791957214475,4.031499847769737,2,9.916291804984212,,3.9992090314626694,2,3.9992090314626694,q12,12,,True,,True,,2,47.08354198373854,,,True,,2,134.0675421524793,2,46.93479207344353,0.1
37,2026-02-04T02:00:48.013593,20.26716689579189,,,True,,2.345666056498885,1.4639580622315407,1,3.809624118730426,,3.1050420366227627,2.759333932772279,1,5.8643759693950415,,2.1469169296324253,1,2.1469169296324253,q14,14,,True,,True,,1,6.840999936684966,,,True,,1,10.33937488682568,1,8.446249878033996,0.1
38,2026-02-04T02:00:48.337846,100.47433385625482,,,True,,7.75737501680851,4.6629998832941055,5,12.420374900102615,,12.566791847348213,3.5370001569390297,5,16.103792004287243,,6.34016701951623,5,6.34016701951623,q18,18,,True,,True,,5,90.49583412706852,,,True,,5,129.47120796889067,5,65.60999993234873,0.1
39,2026-02-04T02:00:48.374339,26.07033378444612,,,True,,3.651292063295841,2.798207802698016,1,6.449499865993857,,6.613458041101694,6.072541931644082,1,12.685999972745776,,4.019459011033177,1,4.019459011033177,q19,19,,True,,True,,1,2.2695420775562525,,,True,,1,4.252790939062834,1,2.9153749346733093,0.1
40,2026-02-04T02:00:51.678343,562.9603343550116,,,True,,4.791583167389035,1.488666981458664,4,6.280250148847699,,12.940667103976011,3.770458046346903,4,16.711125150322914,,4.6125000808387995,4,4.6125000808387995,q01,1,,True,,True,,4,549.5449169538915,,,True,,4,2187.936707865447,4,535.3564589750022,0.1
41,2026-02-04T02:00:51.945028,104.1220840997994,,,True,,4.060833947733045,3.3490420319139957,10,7.40987597964704,,6.2448750250041485,4.337833030149341,10,10.58270805515349,,3.8877909537404776,10,3.8877909537404776,q03,3,,True,,True,,10,79.96100001037121,,,True,,10,78.65737518295646,10,82.24170911125839,0.1
42,2026-02-04T02:00:52.544569,63.56854294426739,,,True,,14.973916113376617,2.2272500209510326,5,17.20116613432765,,25.043583940714598,5.874916911125183,5,30.91850085183978,,3.9284168742597103,5,3.9284168742597103,q04,4,,True,,True,,5,111.1862079706043,,,True,,5,421.339042019099,5,11.520459083840251,0.1
43,2026-02-04T02:02:10.269903,9771.062791813165,,,True,,4.547332879155874,1.836791867390275,5,6.384124746546149,,7.0262078661471605,4.167167004197836,5,11.193374870344996,,4.493375075981021,5,4.493375075981021,q05,5,,True,,True,,5,9748.464999953285,,,True,,5,58201.97724993341,5,9748.991917120293,0.1
44,2026-02-04T02:02:10.435442,45.78441823832691,,,True,,1.0633340571075678,1.106834039092064,1,2.1701680961996317,,1.6044999938458204,2.181542105972767,1,3.7860420998185873,,0.866791931912303,1,0.866791931912303,q06,6,,True,,True,,1,38.38000004179776,,,True,,1,77.33349991030991,1,38.961416110396385,0.1
45,2026-02-04T02:02:11.978984,399.88250215537846,,,True,,6.246292032301426,2.630834002047777,4,8.877126034349203,,7.716041058301926,8.277291897684336,4,15.993332955986261,,6.0633341781795025,4,6.0633341781795025,q07,7,,True,,True,,4,367.50491708517075,,,True,,4,771.7477909754962,4,368.9487089868635,0.1
46,2026-02-04T02:02:12.037079,35.72329320013523,,,True,,5.301417084410787,2.417125040665269,2,7.7185421250760555,,7.036958122625947,6.806834135204554,2,13.8437922578305,,5.787916947156191,2,5.787916947156191,q08,8,,True,,True,,2,6.309667136520147,,,True,,2,12.155417120084167,2,8.373041870072484,0.1
47,2026-02-04T02:02:28.574838,1125.045957043767,,,True,,7.729915902018547,1.8540830351412296,175,9.583998937159777,,11.19779096916318,5.44125004671514,175,16.63904101587832,,7.827874971553683,175,7.827874971553683,q09,9,,True,,True,,175,1079.1614998597652,,,True,,175,14328.942709136754,175,1090.9950421191752,0.1
48,2026-02-04T02:02:28.702615,69.54729277640581,,,True,,8.968624984845519,4.495499888435006,20,13.464124873280525,,15.172667102888227,4.509208956733346,20,19.681876059621572,,8.864666800945997,20,8.864666800945997,q10,10,,True,,True,,20,26.88716584816575,,,True,,20,27.54070796072483,20,27.536625042557716,0.1
49,2026-02-04T02:02:28.953754,67.39779305644333,,,True,,3.5089158918708563,2.0855420734733343,2,5.594457965344191,,6.035791942849755,3.992167068645358,2,10.027959011495113,,3.2738340087234974,2,3.2738340087234974,q12,12,,True,,True,,2,46.349708922207355,,,True,,2,134.16312518529594,2,48.50154207088053,0.1
50,2026-02-04T02:02:28.993817,20.25112579576671,,,True,,2.409541979432106,1.7546250019222498,1,4.164166981354356,,3.0123749747872353,2.813624916598201,1,5.825999891385436,,1.8700838554650545,1,1.8700838554650545,q14,14,,True,,True,,1,6.629833951592445,,,True,,1,9.93191683664918,1,8.390875067561865,0.1
51,2026-02-04T02:02:29.314877,98.48195919767022,,,True,,7.640583906322718,3.8487499114125967,5,11.489333817735314,,11.979999952018261,3.615792142227292,5,15.595792094245553,,6.2211251351982355,5,6.2211251351982355,q18,18,,True,,True,,5,90.50279087387025,,,True,,5,128.84433311410248,5,65.17570815049112,0.1
52,2026-02-04T02:02:29.352252,27.274081716313958,,,True,,4.2660830076783895,3.52191599085927,1,7.78799899853766,,6.432791939005256,6.290666060522199,1,12.723457999527454,,3.7052498664706945,1,3.7052498664706945,q19,19,,True,,True,,1,2.231291960924864,,,True,,1,4.276958992704749,1,3.0573748517781496,0.1
53,2026-02-04T02:02:32.616389,566.7642496991903,,,True,,4.542999900877476,1.4940418768674135,4,6.037041777744889,,12.412291020154953,3.727500094100833,4,16.139791114255786,,4.528832854703069,4,4.528832854703069,q01,1,,True,,True,,4,549.7938329353929,,,True,,4,2144.2170841619372,4,540.0585839524865,0.1
54,2026-02-04T02:02:32.908880,111.75895924679935,,,True,,4.2679160833358765,3.17416712641716,10,7.4420832097530365,,6.55004195868969,3.5660001449286938,10,10.116042103618383,,4.202208947390318,10,4.202208947390318,q03,3,,True,,True,,10,96.85641713440418,,,True,,10,79.5382079668343,10,89.99862498603761,0.1
55,2026-02-04T02:02:33.517439,41.92408476956189,,,True,,4.340666811913252,2.264041919261217,5,6.604708731174469,,17.585708061233163,2.9504590202122927,5,20.536167081445456,,3.5891670268028975,5,3.5891670268028975,q04,4,,True,,True,,5,111.41383298672736,,,True,,5,451.3817911501974,5,11.194041930139065,0.1
56,2026-02-04T02:03:51.194677,9763.50979320705,,,True,,4.581250017508864,1.9147919956594706,5,6.496042013168335,,7.677500136196613,3.942750161513686,5,11.6202502977103,,4.3840419966727495,5,4.3840419966727495,q05,5,,True,,True,,5,9780.481749912724,,,True,,5,58129.418291850016,5,9741.009458899498,0.1
57,2026-02-04T02:03:51.359497,47.309000976383686,,,True,,0.9063330944627523,1.0973750613629818,1,2.003708155825734,,1.5904998872429132,2.0542091224342585,1,3.6447090096771717,,0.8477088995277882,1,0.8477088995277882,q06,6,,True,,True,,1,38.764166878536344,,,True,,1,75.19349991343915,1,40.81287491135299,0.1
58,2026-02-04T02:03:52.884147,410.1272081024945,,,True,,6.443333113566041,2.6710419915616512,4,9.114375105127692,,7.891708053648472,7.489459123462439,4,15.38116717711091,,5.893707973882556,4,5.893707973882556,q07,7,,True,,True,,4,367.1126249246299,,,True,,4,743.2520419824868,4,379.7379578463733,0.1
59,2026-02-04T02:03:52.942766,36.31812520325184,,,True,,5.401415983214974,2.4880000855773687,2,7.889416068792343,,7.310125045478344,7.356374990195036,2,14.66650003567338,,5.279000150039792,2,5.279000150039792,q08,8,,True,,True,,2,6.6957909148186445,,,True,,2,12.080417014658451,2,8.483208948746324,0.1
60,2026-02-04T02:04:09.332095,1150.7516661658883,,,True,,8.213290944695473,1.8570839893072844,175,10.070374934002757,,11.994458036497235,5.168333183974028,175,17.162791220471263,,8.685542037710547,175,8.685542037710547,q09,9,,True,,True,,175,1083.729000063613,,,True,,175,14150.090666953474,175,1114.8329579737037,0.1
61,2026-02-04T02:04:09.456815,68.3003319427371,,,True,,8.944874862208962,3.9021659176796675,20,12.84704077988863,,14.70100018195808,4.8079160042107105,20,19.50891618616879,,9.11500002257526,20,9.11500002257526,q10,10,,True,,True,,20,26.714541018009186,,,True,,20,26.10829216428101,20,26.829374954104424,0.1
62,2026-02-04T02:04:09.709161,69.04679141007364,,,True,,3.9941249415278435,1.797041855752468,2,5.791166797280312,,6.8770418874919415,4.922749940305948,2,11.79979182779789,,3.70337488129735,2,3.70337488129735,q12,12,,True,,True,,2,47.44233307428658,,,True,,2,132.0992079563439,2,47.75245790369809,0.1
63,2026-02-04T02:04:09.749832,19.199916627258062,,,True,,2.0388748962432146,1.382749993354082,1,3.4216248895972967,,2.847749972715974,2.745624864473939,1,5.593374837189913,,1.8006248865276575,1,1.8006248865276575,q14,14,,True,,True,,1,7.397583220154047,,,True,,1,10.641250060871243,1,8.384292013943195,0.1
64,2026-02-04T02:04:10.098020,99.13924895226955,,,True,,7.631582906469703,3.7365001626312733,5,11.368083069100976,,12.921999907121062,3.634291933849454,5,16.556291840970516,,6.42233295366168,5,6.42233295366168,q18,18,,True,,True,,5,89.98495806008577,,,True,,5,155.71854100562632,5,64.79254108853638,0.1
65,2026-02-04T02:04:10.134711,26.72558417543769,,,True,,3.984499955549836,2.8849171940237284,1,6.8694171495735645,,6.38554198667407,6.718750111758709,1,13.10429209843278,,3.7240409292280674,1,3.7240409292280674,q19,19,,True,,True,,1,2.27341684512794,,,True,,1,4.31479187682271,1,3.0278339982032776,0.1
