execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,policy_count,query_name,query_num,tpch_sf
1,2026-02-02T23:01:25.843815,24243.96783299744,,,True,,4,12518.758333055303,,4,11676.684667123482,,4,48.52483281865716,1000,q01,1,1.0
2,2026-02-02T23:01:35.807384,1037.3165009077638,,,True,,10,21.221458911895752,,10,997.1084170974791,,10,18.986624898388982,1000,q03,3,1.0
3,2026-02-02T23:02:04.839632,19792.545999167487,,,True,,0,18897.426791023463,,0,877.3035830818117,,5,17.815625062212348,1000,q04,4,1.0
4,2026-02-02T23:02:18.235952,4345.4375844448805,,,True,,5,3286.62266721949,,5,1036.540875211358,,5,22.274042014032602,1000,q05,5,1.0
5,2026-02-02T23:02:31.506064,4397.340083727613,,,True,,1,3383.101541781798,,1,1007.7346249017864,,1,6.50391704402864,1000,q06,6,1.0
6,2026-02-02T23:02:44.936094,4485.449667787179,,,True,,4,3304.0037089958787,,4,1118.4226248878986,,4,63.02333390340209,1000,q07,7,1.0
7,2026-02-02T23:02:58.128514,4288.710291031748,,,True,,2,3267.3647080082446,,2,1002.9638330452144,,2,18.381749978289008,1000,q08,8,1.0
8,2026-02-02T23:03:12.225754,5165.233084233478,,,True,,175,3627.073167124763,,175,1488.2200830616057,,175,49.93983404710889,1000,q09,9,1.0
9,2026-02-02T23:03:22.361152,1181.1097499448806,,,True,,20,57.708959095180035,,20,1068.9281248487532,,20,54.472666000947356,1000,q10,10,1.0
10,2026-02-02T23:03:35.508404,4376.194206997752,,,True,,2,3295.390957966447,,2,1065.950958058238,,2,14.852290973067284,1000,q12,12,1.0
11,2026-02-02T23:03:48.726465,4339.804458199069,,,True,,1,3331.691542174667,,1,996.0585830267519,,1,12.054332997649908,1000,q14,14,1.0
12,2026-02-02T23:03:59.902799,2257.863458013162,,,True,,57,50.06424989551306,,57,2120.1419581193477,,57,87.65724999830127,1000,q18,18,1.0
13,2026-02-02T23:04:13.124454,4345.045417314395,,,True,,1,3275.9031250607222,,1,1047.2413341049105,,1,21.900958148762584,1000,q19,19,1.0
14,2026-02-02T23:04:46.623764,24534.41421012394,,,True,,4,12464.21820903197,,4,12023.598792031407,,4,46.59720906056464,1000,q01,1,1.0
15,2026-02-02T23:04:56.616456,1033.573166001588,,,True,,10,23.332332959398627,,10,992.0217499602586,,10,18.219083081930876,1000,q03,3,1.0
16,2026-02-02T23:05:26.524743,20596.4730840642,,,True,,0,19710.230541881174,,0,868.2130421511829,,5,18.02950003184378,1000,q04,4,1.0
17,2026-02-02T23:05:39.905010,4395.72604210116,,,True,,5,3333.547999849543,,5,1039.2537501174957,,5,22.92429213412106,1000,q05,5,1.0
18,2026-02-02T23:05:53.206861,4415.65562505275,,,True,,1,3399.170499993488,,1,1009.7777498885989,,1,6.707375170662999,1000,q06,6,1.0
19,2026-02-02T23:06:06.818255,4507.572042057291,,,True,,4,3358.743750024587,,4,1096.8987920787185,,4,51.929499953985214,1000,q07,7,1.0
20,2026-02-02T23:06:20.006839,4315.619540167972,,,True,,2,3291.2985410075635,,2,1001.4129581395537,,2,22.908041020855308,1000,q08,8,1.0
21,2026-02-02T23:06:34.169038,5232.693374855444,,,True,,175,3686.2674579024315,,175,1495.434041833505,,175,50.99187511950731,1000,q09,9,1.0
22,2026-02-02T23:06:44.376655,1229.5746661256999,,,True,,20,69.59350011311471,,20,1095.2395000495017,,20,64.7416659630835,1000,q10,10,1.0
23,2026-02-02T23:06:57.583058,4386.116458103061,,,True,,2,3325.0215840525925,,2,1041.66420805268,,2,19.43066599778831,1000,q12,12,1.0
24,2026-02-02T23:07:10.896248,4358.028917107731,,,True,,1,3340.886125108227,,1,1004.7349170781672,,1,12.40787492133677,1000,q14,14,1.0
25,2026-02-02T23:07:22.054869,2293.3946261182427,,,True,,57,53.18929208442569,,57,2116.368666989729,,57,123.83666704408824,1000,q18,18,1.0
26,2026-02-02T23:07:35.331588,4361.178665887564,,,True,,1,3323.787916917354,,1,1013.8129580300301,,1,23.57779094018042,1000,q19,19,1.0
27,2026-02-02T23:08:08.828184,24494.46828989312,,,True,,4,12713.0640828982,,4,11704.879041062668,,4,76.525165932253,1000,q01,1,1.0
28,2026-02-02T23:08:18.819371,1031.2414159998298,,,True,,10,22.29025005362928,,10,989.5755830220878,,10,19.375582924112678,1000,q03,3,1.0
29,2026-02-02T23:08:48.207234,20328.238582937047,,,True,,0,19427.811207948253,,0,880.4665422067046,,5,19.96083278208971,1000,q04,4,1.0
30,2026-02-02T23:09:01.562405,4366.0885009448975,,,True,,5,3307.696959003806,,5,1031.1115419026464,,5,27.280000038444996,1000,q05,5,1.0
31,2026-02-02T23:09:14.887938,4462.975583039224,,,True,,1,3435.3332919999957,,1,1018.4774580411613,,1,9.16483299806714,1000,q06,6,1.0
32,2026-02-02T23:09:28.242274,4488.370165927336,,,True,,4,3350.16050003469,,4,1089.4407909363508,,4,48.768874956294894,1000,q07,7,1.0
33,2026-02-02T23:09:41.665744,4542.635459220037,,,True,,2,3463.442125124857,,2,1056.5462920349091,,2,22.647042060270905,1000,q08,8,1.0
34,2026-02-02T23:09:55.912927,5212.046999717131,,,True,,175,3685.1374588441104,,175,1474.9697078950703,,175,51.93983297795057,1000,q09,9,1.0
35,2026-02-02T23:10:06.198384,1181.7517497111112,,,True,,20,61.37770786881447,,20,1064.8682499304414,,20,55.50579191185534,1000,q10,10,1.0
36,2026-02-02T23:10:19.410447,4384.02633392252,,,True,,2,3328.7592499982566,,2,1039.9521249346435,,2,15.314958989620209,1000,q12,12,1.0
37,2026-02-02T23:10:32.749592,4354.750833939761,,,True,,1,3316.9146250002086,,1,1024.178083986044,,1,13.658124953508377,1000,q14,14,1.0
38,2026-02-02T23:10:43.931011,2286.7718329653144,,,True,,57,55.19358301535249,,57,2137.83787493594,,57,93.74037501402199,1000,q18,18,1.0
39,2026-02-02T23:10:57.190565,4349.744416074827,,,True,,1,3317.6640409510583,,1,1010.0059581454843,,1,22.074416978284717,1000,q19,19,1.0
40,2026-02-02T23:11:30.904275,24813.678666949272,,,True,,4,12859.608500031754,,4,11906.817749841139,,4,47.25241707637906,1000,q01,1,1.0
41,2026-02-02T23:11:40.835097,1037.1574570890516,,,True,,10,21.646790904924273,,10,996.8070001341403,,10,18.703666049987078,1000,q03,3,1.0
42,2026-02-02T23:12:10.407132,20544.983708066866,,,True,,0,19644.232999999076,,0,880.812874995172,,5,19.93783307261765,1000,q04,4,1.0
43,2026-02-02T23:12:23.724348,4352.237831801176,,,True,,5,3261.1889159306884,,5,1059.9804159719497,,5,31.068499898537993,1000,q05,5,1.0
44,2026-02-02T23:12:37.039889,4413.529833778739,,,True,,1,3420.834792079404,,1,983.7994168046862,,1,8.89562489464879,1000,q06,6,1.0
45,2026-02-02T23:12:50.525406,4451.010042103007,,,True,,4,3316.8678330257535,,4,1084.8115840926766,,4,49.3306249845773,1000,q07,7,1.0
46,2026-02-02T23:13:03.727297,4319.806624902412,,,True,,2,3272.893707966432,,2,1027.742083882913,,2,19.170833053067327,1000,q08,8,1.0
47,2026-02-02T23:13:17.882675,5243.661875138059,,,True,,175,3689.2202079761773,,175,1502.592375036329,,175,51.84929212555289,1000,q09,9,1.0
48,2026-02-02T23:13:28.027172,1192.5527916755527,,,True,,20,61.584957875311375,,20,1065.2347919531167,,20,65.7330418471247,1000,q10,10,1.0
49,2026-02-02T23:13:41.257069,4389.920458197594,,,True,,2,3345.5590831581503,,2,1029.0282079949975,,2,15.333167044445872,1000,q12,12,1.0
50,2026-02-02T23:13:54.471569,4326.1342502664775,,,True,,1,3292.425708146766,,1,1022.0997920259833,,1,11.608750093728304,1000,q14,14,1.0
51,2026-02-02T23:14:05.596741,2255.7283332571387,,,True,,57,49.5615410618484,,57,2114.8504170123488,,57,91.31637518294156,1000,q18,18,1.0
52,2026-02-02T23:14:18.794575,4315.06291590631,,,True,,1,3288.290499942377,,1,1006.7297080531716,,1,20.042707910761237,1000,q19,19,1.0
53,2026-02-02T23:14:52.515044,24744.787875097245,,,True,,4,12678.141582990065,,4,12020.123167196289,,4,46.523124910891056,1000,q01,1,1.0
54,2026-02-02T23:15:02.589499,1064.29508398287,,,True,,10,21.48141711950302,,10,1022.6124168839306,,10,20.201249979436398,1000,q03,3,1.0
55,2026-02-02T23:15:31.644724,20145.15804219991,,,True,,0,19218.406124971807,,0,909.0844581369311,,5,17.667459091171622,1000,q04,4,1.0
56,2026-02-02T23:15:45.024074,4337.932750117034,,,True,,5,3276.853125076741,,5,1037.9710840061307,,5,23.108541034162045,1000,q05,5,1.0
57,2026-02-02T23:15:58.598509,4621.572208125144,,,True,,1,3623.4614171553403,,1,991.3045410066843,,1,6.806249963119626,1000,q06,6,1.0
58,2026-02-02T23:16:12.040218,4480.349708115682,,,True,,4,3343.323624925688,,4,1087.4720001593232,,4,49.55408303067088,1000,q07,7,1.0
59,2026-02-02T23:16:25.127778,4320.92195795849,,,True,,2,3289.3015830777586,,2,1010.9432919416577,,2,20.677082939073443,1000,q08,8,1.0
60,2026-02-02T23:16:39.432621,5193.576582008973,,,True,,175,3654.443208128214,,175,1480.8302910532802,,175,58.30308282747865,1000,q09,9,1.0
61,2026-02-02T23:16:49.573822,1190.130750881508,,,True,,20,64.86791698262095,,20,1065.7623340375721,,20,59.50049986131489,1000,q10,10,1.0
62,2026-02-02T23:17:02.921583,4396.680249832571,,,True,,2,3341.7377090081573,,2,1036.5758328698575,,2,18.36670795455575,1000,q12,12,1.0
63,2026-02-02T23:17:16.061438,4299.672291846946,,,True,,1,3294.166666921228,,1,993.3222499676049,,1,12.183374958112836,1000,q14,14,1.0
64,2026-02-02T23:17:27.256897,2258.1437500193715,,,True,,57,52.38358397036791,,57,2111.9903749786317,,57,93.76979107037187,1000,q18,18,1.0
65,2026-02-02T23:17:40.514389,4386.086666956544,,,True,,1,3327.6762499008328,,1,1036.0685419291258,,1,22.341875126585364,1000,q19,19,1.0
