execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
1,2026-02-15T23:12:34.771015,872.1106264274567,,,True,,30.15295905061066,1.6148330178111792,4,31.76779206842184,,39.96725007891655,True,,2.4107920471578836,4,42.37804212607443,,91.20666701346636,True,,5.405333125963807,4,96.61200013943017,113.12800017185509,,701.3527920935303,588.2247919216752,True,,3.584041027352214,4,701.3527920935303,701.3527920935303,1,q01,1,1,1.0
2,2026-02-15T23:12:35.693343,895.0614181812853,,,True,,29.51058396138251,1.4740419574081898,4,30.984625918790698,,39.571958128362894,True,,2.913291798904538,4,42.48524992726743,,90.19450005143881,True,,5.173208191990852,4,95.36770824342966,112.60375007987022,,726.2238340917975,613.6200840119272,True,,3.4479168243706226,4,726.2238340917975,726.2238340917975,1,q01,1,2,1.0
3,2026-02-15T23:12:36.595070,872.6178742945194,,,True,,37.86429110914469,1.5402091667056084,4,39.404500275850296,,50.23858300410211,True,,3.1638331711292267,4,53.40241617523134,,89.46774993091822,True,,4.880915861576796,4,94.34866579249501,100.61845905147493,,685.4622920509428,584.8438329994678,True,,5.377999972552061,4,685.4622920509428,685.4622920509428,1,q01,1,3,1.0
4,2026-02-15T23:12:37.494446,873.0580809060484,,,True,,31.184749910607934,1.4870830345898867,4,32.67183294519782,,42.36966697499156,True,,17.462415853515267,4,59.83208282850683,,87.3550830874592,True,,4.685500171035528,4,92.04058325849473,102.9509159270674,,688.513581873849,585.5626659467816,True,,3.451958065852523,4,688.513581873849,688.513581873849,1,q01,1,4,1.0
5,2026-02-15T23:12:38.391026,869.1962489392608,,,True,,30.506917042657733,1.5672920271754265,4,32.07420906983316,,41.10558284446597,True,,2.355207921937108,4,43.46079076640308,,95.89091711677611,True,,5.082541145384312,4,100.97345826216042,104.56074983812869,,692.6877908408642,588.1270410027355,True,,4.344041924923658,4,692.6877908408642,692.6877908408642,1,q01,1,5,1.0
6,2026-02-15T23:12:40.397361,951.5172080136836,,,True,,48.68875001557171,3.3891249913722277,4,52.07787500694394,,52.150707924738526,True,,4.0359171107411385,4,56.186625035479665,,105.27366609312594,True,,11.365124955773354,4,116.6387910488993,114.0974999871105,,726.6139169223607,612.5164169352502,True,,8.051584009081125,4,726.6139169223607,726.6139169223607,10,q01,1,1,1.0
7,2026-02-15T23:12:41.400369,943.3106656651944,,,True,,50.10549980215728,3.1283749267458916,4,53.233874728903174,,53.82195790298283,True,,5.182875087484717,4,59.00483299046755,,104.0358329191804,True,,11.492707999423146,4,115.52854091860354,112.02024994418025,,715.5434170272201,603.5231670830399,True,,8.48100008442998,4,715.5434170272201,715.5434170272201,10,q01,1,2,1.0
8,2026-02-15T23:12:42.398226,938.2183321285993,,,True,,49.485000083222985,3.4809999633580446,4,52.96600004658103,,53.80429211072624,True,,4.751375177875161,4,58.5556672886014,,105.64741585403681,True,,11.152290971949697,4,116.7997068259865,111.29470798186958,,709.8969579674304,598.6022499855608,True,,8.078250102698803,4,709.8969579674304,709.8969579674304,10,q01,1,3,1.0
9,2026-02-15T23:12:43.459826,999.367373296991,,,True,,47.486332943663,3.129415912553668,4,50.61574885621667,,54.344333009794354,True,,4.20258310623467,4,58.546916116029024,,125.78016612678766,True,,11.024042032659054,4,136.80420815944672,112.65104217454791,,753.4005001652986,640.7494579907507,True,,9.459750028327107,4,753.4005001652986,753.4005001652986,10,q01,1,4,1.0
10,2026-02-15T23:12:44.456916,936.8169168010354,,,True,,58.108167024329305,3.2202498987317085,4,61.32841692306101,,53.364875027909875,True,,4.255166044458747,4,57.62004107236862,,106.42079194076359,True,,11.539750033989549,4,117.96054197475314,107.64970886521041,,699.9079168308526,592.2582079656422,True,,8.486084174364805,4,699.9079168308526,699.9079168308526,10,q01,1,5,1.0
11,2026-02-15T23:12:48.738220,1783.1577921751887,,,True,,202.2253330796957,41.37141699902713,4,243.59675007872283,,213.58283306472003,True,,61.110832961276174,4,274.6936660259962,,293.89904206618667,True,,78.0206669587642,4,371.91970902495086,112.36879206262529,,892.9476670455188,780.5788749828935,True,,51.777249900624156,4,892.9476670455188,892.9476670455188,100,q01,1,1,1.0
12,2026-02-15T23:12:50.903075,1787.28949977085,,,True,,210.8364999294281,61.414417112246156,4,272.25091704167426,,218.01216690801084,True,,42.015874991193414,4,260.02804189920425,,282.6847080141306,True,,77.64200004749,4,360.3267080616206,105.97841697745025,,894.6838327683508,788.7054157909006,True,,72.02308299019933,4,894.6838327683508,894.6838327683508,100,q01,1,2,1.0
13,2026-02-15T23:12:53.061935,1800.3412089310586,,,True,,208.94320798106492,40.75474990531802,4,249.69795788638294,,228.8585000205785,True,,42.685499880462885,4,271.5439999010414,,278.99491717107594,True,,98.4150420408696,4,377.40995921194553,118.15691692754626,,901.6892919316888,783.5323750041425,True,,49.950042041018605,4,901.6892919316888,901.6892919316888,100,q01,1,3,1.0
14,2026-02-15T23:12:55.218522,1800.3191242460161,,,True,,211.57495817169547,40.81145813688636,4,252.38641630858183,,218.9966670703143,True,,43.6646668240428,4,262.6613338943571,,288.3866250049323,True,,98.72787492349744,4,387.1144999284297,113.8729159720242,,898.1568741146475,784.2839581426233,True,,50.39649992249906,4,898.1568741146475,898.1568741146475,100,q01,1,4,1.0
15,2026-02-15T23:12:57.385486,1807.155541377142,,,True,,227.54233400337398,41.659832932055,4,269.202166935429,,222.817667061463,True,,63.21341707371175,4,286.03108413517475,,292.54487506113946,True,,78.86329106986523,4,371.4081661310047,105.26616615243256,,880.5141241755337,775.2479580231011,True,,49.60645898245275,4,880.5141241755337,880.5141241755337,100,q01,1,5,1.0
16,2026-02-15T23:13:40.807770,18451.452418928966,,,True,,2395.707458956167,3472.1935000270605,4,5867.900958983228,,2314.084708923474,True,,3537.825125036761,4,5851.909833960235,,2507.8866670373827,True,,959.4554591458291,4,3467.342126183212,131.4368329476565,,3264.2994998022914,3132.862666854635,True,,608.7900828570127,4,3264.2994998022914,3264.2994998022914,1000,q01,1,1,1.0
17,2026-02-15T23:14:03.460698,19213.027122896165,,,True,,2323.4577500261366,3789.9580830708146,4,6113.415833096951,,2359.623957891017,True,,3668.928791070357,4,6028.552748961374,,2508.580290945247,True,,991.6238330770284,4,3500.204124022275,133.56645801104605,,3570.854416815564,3437.287958804518,True,,624.6603750623763,4,3570.854416815564,3570.854416815564,1000,q01,1,2,1.0
18,2026-02-15T23:14:27.260162,20115.697375731543,,,True,,2468.4314590413123,3973.937541944906,4,6442.369000986218,,2366.3821248337626,True,,3852.47700009495,4,6218.859124928713,,2706.9012499414384,True,,1074.3685828056186,4,3781.269832747057,145.10824996978045,,3673.1994170695543,3528.091167099774,True,,644.834749866277,4,3673.1994170695543,3673.1994170695543,1000,q01,1,3,1.0
19,2026-02-15T23:14:50.428901,19635.581124108285,,,True,,2486.5904999896884,3781.709167174995,4,6268.299667164683,,2479.257999919355,True,,3810.324667021632,4,6289.582666940987,,2647.7520409971476,True,,1024.3483749218285,4,3672.100415918976,156.52233292348683,,3405.598374083638,3249.0760411601514,True,,656.1897920910269,4,3405.598374083638,3405.598374083638,1000,q01,1,4,1.0
20,2026-02-15T23:15:14.266413,20274.6489578858,,,True,,2519.239417044446,4061.6314578801394,4,6580.870874924585,,2482.0123750250787,True,,3887.882750015706,4,6369.8951250407845,,2812.8019999712706,True,,1044.0971250645816,4,3856.899125035852,159.57804094068706,,3466.98383288458,3307.405791943893,True,,662.771875038743,4,3466.98383288458,3466.98383288458,1000,q01,1,5,1.0
